no,n,orbit,members,loops,loop_nodes,rep,rep_edges,rep_weight,es_lo,vc_min,chi_min,es_up,mindeg_g,nodes,edges,selfloops,density,min_degree,max_degree,aspl,aspl_se,diameter,diameter_exactly_known,chi_og
35,6,30,44216,10336,10336,2429576,7,9,2,2,2,2,5,44216,805020,10336,0.0008235454742635543,17,42,3.8797077914734817,0.004009914821298869,6,False,17
36,6,14,222064,54184,54184,153162760,7,9,3,3,2,3,4,222064,4200164,54184,0.00017034989992838694,20,42,4.493026244804402,0.0028644141488120304,7,False,18
37,6,1,9529056,0,0,1225003712,7,9,3,3,2,3,4,9529056,199809984,0,4.400960471791929e-06,14,42,5.8192683087672386,0.0016214466021154629,8,False,20
38,6,5,4756336,13600,13600,1227366464,7,9,3,3,2,3,4,4756336,99845264,13600,8.826987328724154e-06,21,42,5.499223757578051,0.001208491063197787,8,False,20
39,6,12,3197504,0,0,1227363392,8,10,3,3,2,3,4,3197504,66885754,0,1.3084031041796184e-05,7,42,5.36696228557096,0.001880733906453603,8,False,20
40,6,24,157560,11020,11020,1361322560,8,10,3,3,2,3,4,157560,3282616,11020,0.00026446054571052413,14,42,4.1355255618530204,0.0019689454519204955,6,False,19
41,6,27,2520,548,548,19207432,8,13,2,2,2,2,7,2520,48140,548,0.015167268442377613,14,42,2.7480513179203134,0.0,4,True,18
42,6,18,131142,24,24,77462540864,9,9,3,3,3,3,3,131142,2695904,24,0.0003135119686294717,7,42,4.135918072913886,0.0031415651085783714,7,False,19
43,6,6,1069312,0,0,77462540928,9,10,3,4,3,4,4,1069312,22340560,0,3.9076492610655666e-05,14,42,4.872669412359921,0.001979177767421019,7,False,19
44,6,3,1912160,0,0,1361322568,9,11,3,3,3,3,4,1912160,40068144,0,2.1916994093147228e-05,14,42,5.089782051597174,0.0018129216913503033,7,False,19
45,6,4,1912160,0,0,69944546368,9,11,3,3,3,3,4,1912160,40068144,0,2.1916994093147228e-05,14,42,5.084774150057605,0.001593339728262798,7,False,19
46,6,13,2137164,0,0,77462541440,9,11,3,4,3,4,4,2137164,44680906,0,1.956484761568704e-05,7,42,5.172212369856675,0.0018853726616923597,8,False,19
47,6,26,131142,24,24,77464871432,9,11,3,3,3,3,4,131142,2695904,24,0.0003135119686294717,7,42,4.126997300615368,0.002872856673716133,7,False,19
48,6,31,11100,12,12,9953354304,9,12,3,3,2,3,4,11100,224612,12,0.003646331257827789,7,42,3.192322010991981,0.002804402838405601,5,False,18
49,6,0,359532,0,0,77462553152,9,12,3,4,3,4,5,359532,7466338,0,0.0001155217472196976,7,42,4.478607166002376,0.0019748465215583513,7,False,19
