no,n,orbit,members,loops,loop_nodes,rep,rep_edges,rep_weight,es_lo,vc_min,chi_min,es_up,mindeg_g,nodes,edges,selfloops,density,min_degree,max_degree,aspl,aspl_se,diameter,diameter_exactly_known,chi_og
72,7,44,2062,1390,1390,21251094,8,9,3,3,3,3,4,2062,14969,1390,0.0070445966404865,10,20,3.7362895320277603,0.0,6,True,9
73,7,25,29340,15408,15408,21251169,8,9,3,3,3,3,3,29340,245070,15408,0.0005693964167965042,15,21,5.078105116057126,0.003188783740759582,7,False,10
74,7,36,15600,4836,4836,21333252,8,9,3,3,3,3,4,15600,142932,4836,0.001174730135560958,16,21,4.435446118340918,0.003498769011838887,7,False,11
75,7,37,37260,1290,1290,22300224,8,9,3,3,2,3,4,37260,381072,1290,0.0005489881747383583,9,21,4.707062588904694,0.0033437752097767136,7,False,12
76,7,34,2631,1749,1749,25510992,8,9,3,3,2,3,4,2631,20364,1749,0.005885948901153691,9,21,3.935097325974452,0.0,7,True,10
77,7,32,23634,8022,8022,1141920840,8,9,3,4,3,4,4,23634,220671,8022,0.0007901675175117706,12,21,4.700797952016249,0.003054146780908809,7,False,11
78,7,29,35589,11883,11883,1145373720,8,9,3,4,3,4,3,35589,330933,11883,0.0005225774976919585,9,21,4.96056167809374,0.003757412899913103,8,False,11
79,7,33,11802,4062,4062,1145382144,8,9,3,4,3,4,3,11802,108450,4062,0.0015573460703419834,7,21,4.380887721379544,0.00495580972376549,7,False,11
80,7,22,71400,22632,22632,1145439297,8,9,3,4,3,4,3,71400,668064,22632,0.00026209438943016524,12,21,5.328190296782868,0.0035036146361575515,8,False,11
81,7,3,338868,468,468,1146160416,8,9,3,4,3,4,3,338868,3553668,468,6.189378043314976e-05,12,21,5.8903782250853585,0.0022379987947612943,9,False,12
82,7,67,1030,658,658,22283872,8,10,3,3,2,3,4,1030,9441,658,0.017815392453791504,9,21,3.128547840772925,0.0,6,True,10
83,7,11,10084,340,340,89212176,9,9,3,3,2,3,3,10084,101287,340,0.0019923291972148817,9,21,4.079103280140955,0.0,8,True,12
84,7,1,59454,318,318,1146115392,9,9,3,4,3,4,3,59454,608502,318,0.00034430010316900293,6,21,4.992014111987621,0.004239544893869768,9,False,12
85,7,50,5016,2748,2748,25510996,9,10,3,3,3,3,4,5016,41100,2748,0.0032677088352168373,9,21,4.080845104240707,0.0,7,True,10
86,7,18,19872,312,312,89212192,9,10,3,3,2,3,4,19872,201612,312,0.0010211394898058661,9,21,4.418615369130894,0.0036977341556302342,7,False,11
87,7,8,59454,318,318,1146119488,9,10,3,4,3,4,4,59454,608502,318,0.00034430010316900293,6,21,4.993357021512792,0.00446567440387056,9,False,12
88,7,13,170580,2424,2424,1146177856,9,10,3,4,3,4,4,170580,1784301,2424,0.00012264347302349721,11,21,5.505427666946107,0.00275560323455202,9,False,12
89,7,17,173784,480,480,1146230080,9,10,3,4,3,4,4,173784,1808508,480,0.00011976594636880301,9,21,5.518168957838223,0.0029075256915619247,9,False,12
90,7,48,9669,2883,2883,1146423616,9,10,3,4,3,4,4,9669,96564,2883,0.0020659844151296194,9,21,4.108960459646231,0.0,7,True,12
91,7,64,4107,2073,2073,21333392,9,11,3,3,2,3,4,4107,36513,2073,0.0043304583397525825,12,21,3.874514079119074,0.0,7,True,11
92,7,63,2136,324,324,22287968,9,11,3,3,3,3,4,2136,20480,324,0.008981747055057056,7,21,3.3785793226850513,0.0,6,True,11
93,7,10,15288,4902,4902,1145378128,10,10,3,4,3,4,4,15288,138696,4902,0.0011869187545999777,6,21,4.518131811342971,0.0051180589289937075,8,False,11
94,7,12,88380,1260,1260,1163150656,10,10,3,4,3,4,3,88380,912567,1260,0.00023366392905110493,11,21,5.178192772038606,0.0035155873475912367,8,False,12
95,7,5,58908,492,492,5453714704,10,10,3,4,3,4,3,58908,609698,492,0.0003514014767387442,9,21,4.896855195477618,0.003419772302827058,8,False,12
96,7,43,8214,2610,2610,1099240784,10,11,3,3,3,3,4,8214,75441,2610,0.002236561840485745,12,21,4.119541044857205,0.0,7,True,11
97,7,19,24702,7914,7914,1145378324,10,11,3,4,3,4,4,24702,227640,7914,0.0007461599240395824,12,21,4.740719282620137,0.004117477593424745,8,False,11
98,7,15,114528,1056,1056,1146423620,10,11,3,4,3,4,4,114528,1196934,1056,0.00018250746715355964,12,21,5.278629432360928,0.0028640629619845915,8,False,12
99,7,0,175464,468,468,5470491920,10,11,3,4,3,4,4,175464,1825614,468,0.00011859472628850966,9,21,5.520599613593749,0.0030191800458498406,9,False,12
100,7,16,58908,492,492,1167345984,10,12,3,4,3,4,4,58908,609698,492,0.0003514014767387442,9,21,4.893045291731034,0.0033971052833480656,8,False,12
101,7,35,38388,168,168,5470492752,10,12,3,4,3,4,4,38388,401032,168,0.0005442887588836548,6,21,4.5865032693359735,0.00252690612555629,8,False,12
102,7,14,16745,188,188,5655238032,11,12,3,4,3,4,4,16745,174182,188,0.0012424785543302427,3,21,4.162586239847109,0.0028787993029563684,7,False,12
103,7,31,16745,188,188,5655258688,11,13,3,4,3,4,4,16745,174182,188,0.0012424785543302427,3,21,4.169136108456762,0.003114783563988551,7,False,12
104,8,658,18,8,8,5461,7,7,1,1,2,1,7,18,42,8,0.27450980392156865,3,6,2.104575163398693,0.0,4,True,4
105,8,657,165,88,88,21841,7,7,2,2,2,2,6,165,690,88,0.050997782705099776,6,12,3.0519586104951957,0.0,6,True,6
106,8,639,190,106,106,87361,7,7,2,2,2,2,5,190,829,106,0.04617098301308828,6,12,3.0876636034530773,0.0,6,True,6
107,8,640,1038,606,606,87364,7,7,2,2,2,2,5,1038,5931,606,0.011020005462622839,9,15,3.831039589151305,0.0,6,True,7
108,8,656,108,60,60,349441,7,7,2,2,2,2,4,108,445,60,0.07701626860505364,3,12,2.8058151609553477,0.0,6,True,5
109,8,647,1182,702,702,349444,7,7,2,2,2,2,4,1182,6903,702,0.009890095720309296,9,15,3.8770564966166217,0.0,7,True,8
110,8,629,730,482,482,67376389,7,7,3,3,2,3,5,730,4177,482,0.015697991243399666,6,16,3.6010635699118705,0.0,6,True,7
111,8,626,1378,918,918,67392769,7,7,3,3,2,3,4,1378,8301,918,0.008749379448602533,9,18,3.907540740319135,0.0,7,True,8
112,8,443,6462,3672,3672,67392784,7,7,3,3,2,3,4,6462,46257,3672,0.002215852072653046,12,18,4.60417793286874,0.0,7,True,9
113,8,637,1472,992,992,68424709,7,7,3,3,2,3,4,1472,9006,992,0.008318431708686786,9,17,3.9209093193036386,0.0,7,True,8
114,8,606,8064,5364,5364,68424772,7,7,3,3,2,3,4,8064,59910,5364,0.001842816687632513,12,20,4.656795616464784,0.0,7,True,9
115,8,627,784,528,528,68441092,7,7,3,3,2,3,3,784,4617,528,0.01504222378606615,6,16,3.6044354523418565,0.0,6,True,7
116,8,625,3544,2028,2028,68441104,7,7,3,3,2,3,3,3544,25428,2028,0.004050208053396231,6,18,4.200333662727319,0.0,8,True,9
117,8,598,8118,5418,5418,68441152,7,7,3,3,2,3,3,8118,60423,5418,0.0018339508268804506,12,20,4.654463364887437,0.0,7,True,9
118,8,599,8124,5424,5424,336663553,7,7,3,3,2,3,3,8124,60504,5424,0.001833697593735606,12,20,4.65186337122381,0.0,7,True,9
119,8,519,4230,3042,3042,336663568,7,7,3,3,2,3,3,4230,30723,3042,0.0034349115948810057,9,20,4.327220637420222,0.0,7,True,9
120,8,272,38304,21456,21456,336663616,7,7,3,3,2,3,3,38304,328068,21456,0.00044721560316738376,15,21,5.336545283659243,0.004446206102623414,8,False,10
121,8,505,22464,15066,15066,340791568,7,7,3,3,2,3,3,22464,195075,15066,0.0007731731496923146,9,23,4.957104349374528,0.004704581994255724,8,False,10
122,8,602,1865,1398,1398,69797416981,7,7,4,4,2,4,4,1865,12862,1398,0.007399693932734239,6,21,3.9574762107491743,0.0,7,True,8
123,8,601,4771,3498,3498,69797433361,7,7,4,4,2,4,3,4771,36058,3498,0.003168865705496213,6,21,4.271064832208218,0.0,7,True,9
124,8,372,44358,28968,28968,69797433616,7,7,4,4,2,4,3,44358,388479,28968,0.0003948784382738749,15,23,5.3557634195279205,0.004340033190963828,8,False,10
125,8,583,23190,16116,16116,69797499904,7,7,4,4,2,4,3,23190,198675,16116,0.0007389081353367293,12,23,5.063452455905817,0.005224180494203463,8,False,10
126,8,379,104904,56808,56808,69864788224,7,7,4,4,2,4,2,104904,1033488,56808,0.0001878258995755212,9,24,5.557071313499137,0.004445444811213488,9,False,11
127,8,609,747,522,522,349460,8,8,2,2,2,2,5,747,4323,522,0.015515143684658204,6,18,3.5877558491338006,0.0,6,True,7
128,8,550,795,563,563,1397780,8,8,2,2,2,2,4,795,4706,563,0.014910571424045118,6,17,3.6005893256023955,0.0,6,True,8
129,8,652,748,530,530,67392773,8,8,3,3,3,3,5,748,4333,530,0.015509453142337622,6,18,3.5907873919922113,0.0,6,True,8
130,8,564,8278,2836,2836,67392848,8,8,3,3,3,3,5,8278,65960,2836,0.0019253614204917243,6,18,4.473339013091144,0.0,8,True,10
131,8,646,796,572,572,68441093,8,8,3,3,3,3,4,796,4721,572,0.01492051452229702,6,17,3.600673177206789,0.0,6,True,7
132,8,588,8226,5850,5850,68441156,8,8,3,3,2,3,4,8226,61503,5850,0.0018180326742177854,12,20,4.64324430580774,0.0,7,True,9
133,8,314,40392,21816,21816,68441168,8,8,3,3,3,3,4,40392,344124,21816,0.0004218567424989357,15,21,5.2781698893317825,0.0038169259295782435,8,False,10
134,8,574,5076,3864,3864,72618308,8,8,3,3,2,3,4,5076,37674,3864,0.0029249205184641723,9,21,4.3858888151331294,0.0,7,True,9
135,8,610,4362,3066,3066,336663557,8,8,3,3,2,3,3,4362,31635,3066,0.0033260294210879413,9,20,4.33829099387773,0.0,7,True,10
136,8,539,8244,5760,5760,336663569,8,8,3,3,3,3,4,8244,61740,5760,0.00181707702764341,12,20,4.641141472837759,0.0,8,True,9
137,8,549,40464,21456,21456,336663617,8,8,3,3,3,3,4,40464,345168,21456,0.00042163206437092083,15,21,5.284993055383931,0.00386025386570551,8,False,10
138,8,355,98232,31536,31536,336663872,8,8,3,3,2,3,4,98232,935496,31536,0.00019389668269558015,12,21,5.524381692133847,0.003942332853516264,9,False,11
139,8,636,4374,3042,3042,336679952,8,8,3,3,3,3,3,4374,31731,3042,0.0033178404582051542,9,20,4.342088475536429,0.0,7,True,9
140,8,510,23904,16020,16020,340807952,8,8,3,3,3,3,3,23904,207513,16020,0.0007263606574564165,9,23,4.907101535372129,0.004376773633683321,8,False,10
141,8,504,23850,16452,16452,340857104,8,8,3,3,2,3,3,23850,204381,16452,0.0007186409461414861,12,23,5.073832110361021,0.005263515529755397,8,False,10
142,8,455,114444,58104,58104,340857152,8,8,3,3,2,3,3,114444,1117926,58104,0.00017071071838608917,12,24,5.542452364932761,0.003637851352593701,9,False,11
143,8,589,5095,3870,3870,69797433365,8,8,4,4,3,4,4,5095,37848,3870,0.002916552522103589,9,21,4.391551491431163,0.0,7,True,9
144,8,460,56293,27152,27152,69797434640,8,8,4,4,3,4,4,56293,540004,27152,0.00034082064932292966,9,24,5.232638101328785,0.00459508771174504,8,False,11
145,8,623,1399,1095,1095,69797498900,8,8,4,4,2,4,3,1399,9896,1095,0.010119633787060245,4,21,3.676321018180777,0.0,7,True,8
146,8,403,23928,15870,15870,69797498948,8,8,4,4,3,4,3,23928,207952,15870,0.0007264378219849222,9,23,4.8974844318134325,0.004182079387694066,8,False,10
147,8,409,57769,29248,29248,69797499200,8,8,4,4,2,4,3,57769,560904,29248,0.00033615250424014794,6,24,5.117455425148871,0.0044025269256353005,8,False,11
148,8,547,22683,15336,15336,69797499908,8,8,4,4,2,4,3,22683,197761,15336,0.0007687565095525774,9,23,4.943207785909532,0.0047169352040129075,8,False,10
149,8,467,219528,115200,115200,69797499968,8,8,4,4,3,4,3,219528,2163168,115200,8.977230620358951e-05,18,24,5.9602404897803,0.0033735283265282036,9,False,11
150,8,569,48702,17226,17226,69861643265,8,8,3,4,3,4,3,48702,458667,17226,0.0003867611253688557,9,21,5.196802652922937,0.004891103630654692,8,False,11
151,8,553,23910,16404,16404,69864607808,8,8,4,4,3,4,3,23910,204975,16404,0.0007171168094331744,12,23,5.071549123760928,0.005060999439922135,8,False,10
152,8,411,22764,15678,15678,69864788048,8,8,4,4,3,4,3,22764,198682,15678,0.000766850038009797,9,23,4.938297588191363,0.004626501720539346,8,False,10
153,8,360,113964,56808,56808,69864788225,8,8,4,4,2,4,3,113964,1118160,56808,0.00017218780529097222,9,24,5.489392364188377,0.0036865660517394656,9,False,11
154,8,440,220176,117792,117792,69864788288,8,8,4,4,3,4,3,220176,2171376,117792,8.958329790434403e-05,18,24,5.961955158396729,0.003394521118532001,9,False,11
155,8,7,541392,157512,157512,69864789248,8,8,4,4,3,4,3,541392,5897088,157512,4.0238773843216154e-05,12,24,6.121126858407325,0.0030578084287548723,9,False,12
156,8,404,266478,85920,85920,69865837568,8,8,4,4,3,4,3,266478,2857659,85920,8.04858081140486e-05,12,24,5.906636730374479,0.004539631560163688,10,False,12
157,8,281,533208,175440,175440,74106016784,8,8,4,4,2,4,3,533208,5794284,175440,4.076029086830641e-05,15,24,6.200633044952523,0.0035582682509396803,9,False,12
158,8,161,323940,0,0,348178617344,8,8,4,4,2,4,2,323940,3862419,0,7.361419468698137e-05,3,24,5.503660216892687,0.003900408667274522,10,False,13
159,8,653,280,178,178,87384,8,9,2,2,2,2,6,280,1708,178,0.04372759856630824,9,15,2.9211981566820278,0.0,6,True,8
160,8,642,1159,636,636,349464,8,9,2,2,2,2,5,1159,7614,636,0.011346211447245482,7,18,3.5979292493528905,0.0,6,True,8
161,8,654,606,400,400,1397784,8,9,2,2,2,2,5,606,4070,400,0.0222022202220222,9,18,3.1620652974388346,0.0,6,True,8
162,8,563,748,530,530,67392774,8,9,3,3,3,3,5,748,4333,530,0.015509453142337622,6,18,3.5907873919922113,0.0,6,True,7
163,8,634,3488,1878,1878,67392786,8,9,3,3,2,3,5,3488,24228,1878,0.003983998231965123,9,18,4.216066622290395,0.0,7,True,8
164,8,631,2160,1482,1482,68425092,8,9,3,3,2,3,5,2160,17121,1482,0.00734264834542741,12,21,3.7583890861681506,0.0,6,True,10
165,8,614,796,572,572,68441094,8,9,3,3,3,3,4,796,4721,572,0.01492051452229702,6,17,3.600673177206789,0.0,6,True,7
166,8,644,1842,1094,1094,68441106,8,9,3,3,2,3,4,1842,13101,1094,0.007726646225054716,6,18,3.728535275345446,0.0,6,True,10
167,8,596,8550,5850,5850,68441160,8,9,3,3,2,3,4,8550,63627,5850,0.0017409648814984003,12,20,4.614201886749861,0.0,7,True,9
168,8,605,6588,3804,3804,68441472,8,9,3,3,2,3,4,6588,54202,3804,0.0024980668349250776,13,21,4.259054075067733,0.0,7,True,10
169,8,612,7842,4968,4968,72618372,8,9,3,3,2,3,4,7842,64939,4968,0.002112211002134654,10,23,4.361210491833011,0.0,7,True,10
170,8,517,1740,1056,1056,335942913,8,9,3,3,2,3,4,1740,13415,1056,0.008866900649732638,12,18,3.663094789580483,0.0,6,True,9
171,8,532,4278,3096,3096,336663558,8,9,3,3,2,3,4,4278,31677,3096,0.0034625337063342496,11,20,4.223819022631353,0.0,7,True,9
172,8,328,8244,5760,5760,336663570,8,9,3,3,3,3,4,8244,61740,5760,0.00181707702764341,12,20,4.641141472837759,0.0,8,True,9
173,8,389,40464,21456,21456,336663618,8,9,3,3,3,3,4,40464,345168,21456,0.00042163206437092083,15,21,5.275948496156984,0.0038824063376378206,8,False,10
174,8,545,19872,11766,11766,336663648,8,9,3,3,2,3,4,19872,169311,11766,0.0008575389766408795,15,21,4.879258416788285,0.0035565459535895423,7,False,10
175,8,551,48720,16896,16896,336663936,8,9,3,3,2,3,4,48720,463062,16896,0.0003901786428393976,11,21,5.126503438083704,0.0036970159212345484,8,False,11
176,8,592,4374,3042,3042,336696336,8,9,3,3,3,3,3,4374,31731,3042,0.0033178404582051542,9,20,4.342088475536429,0.0,7,True,9
177,8,638,2180,1502,1502,336991233,8,9,3,3,2,3,4,2180,17356,1502,0.007307451023321025,12,21,3.745118331361495,0.0,6,True,9
178,8,624,6762,3642,3642,336991236,8,9,3,3,2,3,4,6762,55047,3642,0.002408116806460982,10,21,4.294266606663887,0.0,7,True,10
179,8,478,20370,11214,11214,336991248,8,9,3,3,2,3,3,20370,171471,11214,0.0008265325076347284,12,21,4.932669792331484,0.004179004057609952,8,False,10
180,8,191,10320,5760,5760,336991488,8,9,3,3,2,3,3,10320,94056,5760,0.001766441222671207,15,21,4.430753535849802,0.0,7,True,11
181,8,577,11940,8142,8142,340791648,8,9,3,3,2,3,4,11940,110619,8142,0.0015519847331135954,15,24,4.4961116508920345,0.004522645136590761,7,False,11
182,8,484,23904,16020,16020,340807968,8,9,3,3,3,3,4,23904,207513,16020,0.0007263606574564165,9,23,4.910872484625361,0.004328433630460672,8,False,10
183,8,573,23310,16812,16812,340857120,8,9,3,3,2,3,4,23310,203769,16812,0.0007500706887209954,14,23,4.9463302586983575,0.003809009022190088,7,False,10
184,8,382,112644,59076,59076,340857216,8,9,3,3,2,3,3,112644,1105974,59076,0.0001743261908848894,17,24,5.533473416013423,0.0032392784970667566,8,False,12
185,8,503,37002,19272,19272,340858368,8,9,3,3,2,3,4,37002,349629,19272,0.0005107387194891594,13,24,5.025607713305046,0.004802303497636505,8,False,11
186,8,580,5095,3870,3870,69797433366,8,9,4,4,3,4,4,5095,37848,3870,0.002916552522103589,9,21,4.391551491431163,0.0,7,True,9
