no,n,orbit,members,loops,loop_nodes,rep,rep_edges,rep_weight,es_lo,vc_min,chi_min,es_up,mindeg_g,nodes,edges,selfloops,density,min_degree,max_degree,aspl,aspl_se,diameter,diameter_exactly_known,chi_og
1,3,0,7,5,5,5,2,2,1,1,2,1,2,7,14,5,0.6666666666666666,3,5,1.3333333333333333,0.0,2,True,3
2,4,0,10,4,4,21,3,3,1,1,2,1,3,10,20,4,0.4444444444444444,3,6,1.5555555555555556,0.0,2,True,3
3,4,1,37,18,18,81,3,3,2,2,2,2,2,37,122,18,0.1831831831831832,3,9,2.175675675675676,0.0,4,True,4
4,4,2,6,6,6,344,4,5,2,2,2,2,3,6,11,6,0.7333333333333333,3,4,1.2666666666666666,0.0,2,True,4
5,5,4,11,7,7,85,4,4,1,1,2,1,4,11,25,7,0.45454545454545453,3,6,1.5818181818181818,0.0,3,True,3
6,5,3,88,53,53,337,4,4,2,2,2,2,3,88,352,53,0.09195402298850575,6,11,2.5491118077324972,0.0,4,True,6
7,5,0,255,159,159,1348,4,4,2,2,2,2,2,255,1299,159,0.040111162575266326,6,14,3.010251659719006,0.0,5,True,7
8,5,2,219,45,45,20816,5,5,2,3,3,3,2,219,1404,45,0.058816136734950356,3,15,2.663273428008881,0.0,6,True,8
9,5,1,139,70,70,1368,5,6,2,2,2,2,3,139,762,70,0.07944948389114795,7,15,2.5279949953081013,0.0,4,True,7
10,6,20,14,6,6,341,5,5,1,1,2,1,5,14,31,6,0.34065934065934067,3,6,1.8131868131868132,0.0,3,True,4
11,6,7,116,60,60,1361,5,5,2,2,2,2,4,116,467,60,0.07001499250374812,6,12,2.75592203898051,0.0,5,True,5
12,6,15,66,36,36,5441,5,5,2,2,2,2,3,66,254,36,0.11841491841491841,3,11,2.462937062937063,0.0,5,True,4
13,6,6,666,378,378,5444,5,5,2,2,2,2,3,666,3675,378,0.016595542911332386,9,14,3.517248075142812,0.0,6,True,7
14,6,14,420,268,268,278789,5,5,3,3,2,3,3,420,2262,268,0.02570746675758609,6,15,3.2765996135924538,0.0,5,True,8
15,6,1,1850,992,992,279824,5,5,3,3,2,3,2,1850,12470,992,0.007291011942174733,6,17,3.851497814742812,0.0,7,True,8
16,6,18,162,108,108,21780,6,6,2,2,2,2,3,162,801,108,0.06142167011732229,6,15,2.7866728011655546,0.0,5,True,7
17,6,13,164,108,108,279813,6,6,3,3,3,3,3,164,800,108,0.05985335926978902,3,15,2.8366751458925634,0.0,5,True,7
18,6,2,4698,1418,1418,279888,6,6,3,3,3,3,3,4698,35937,1418,0.0032571536245928558,6,18,4.160690686599863,0.0,7,True,9
19,6,0,7572,0,0,1380672,6,6,3,3,2,3,2,7572,65661,0,0.002290728593404519,3,18,4.169115852933138,0.0,9,True,10
20,6,19,180,118,118,5464,6,7,2,2,2,2,4,180,1064,118,0.06604593420235878,9,15,2.6080695220360024,0.0,5,True,8
21,6,16,331,196,196,21784,6,7,2,2,2,2,4,331,2045,196,0.03744392566144832,7,17,2.8988922457200403,0.0,5,True,8
22,6,17,164,108,108,279814,6,7,3,3,3,3,3,164,800,108,0.05985335926978902,3,15,2.8366751458925634,0.0,5,True,6
23,6,9,1008,510,510,279826,6,7,3,3,2,3,3,1008,6559,510,0.012923424914487476,6,17,3.4968257908923253,0.0,6,True,8
24,6,5,980,596,596,344452,6,7,3,3,2,3,3,980,7247,596,0.015107043838986055,12,18,3.3436784724104145,0.0,6,True,9
25,6,3,1892,233,233,1380736,6,7,3,3,2,3,3,1892,16138,233,0.009021256804514094,3,18,3.416417256326004,0.0,6,True,11
26,6,4,1200,188,188,345488,7,8,3,3,3,3,4,1200,10312,188,0.014334167361690298,13,18,3.1452460383653045,0.0,5,True,10
27,6,12,1572,514,514,1335569,7,8,3,3,3,3,3,1572,11979,514,0.009701119042181525,4,18,3.5096468595066757,0.0,6,True,10
28,6,11,119,54,54,1401232,8,10,3,3,2,3,4,119,834,54,0.11878649764990742,6,18,2.214356929212363,0.0,4,True,7
29,6,8,462,0,0,21316944,9,9,3,4,3,4,3,462,3489,0,0.032763332112572895,3,18,2.8426439793034155,0.0,6,True,9
30,6,10,940,24,24,18433360,9,10,3,3,3,3,4,940,7504,24,0.01700314957061609,6,18,3.1811161715722927,0.0,5,True,9
31,7,72,15,9,9,1365,6,6,1,1,2,1,6,15,36,9,0.34285714285714286,3,6,1.8666666666666667,0.0,4,True,4
32,7,68,137,81,81,5457,6,6,2,2,2,2,5,137,575,81,0.06172176899957063,6,12,2.8593817088879345,0.0,5,True,7
33,7,70,156,93,93,21825,6,6,2,2,2,2,4,156,675,93,0.05583126550868486,6,12,2.90272952853598,0.0,5,True,7
34,7,57,852,516,516,21828,6,6,2,2,2,2,4,852,4824,516,0.013306631800201916,9,15,3.6573349221848916,0.0,6,True,7
35,7,24,483,291,291,87300,6,6,2,2,2,2,3,483,2682,291,0.02304064328238963,6,15,3.3608755788081064,0.0,6,True,7
36,7,66,565,389,389,4261125,6,6,3,3,2,3,4,565,3214,389,0.02017197012489801,6,16,3.402108830728676,0.0,6,True,8
37,7,46,1069,729,729,4265217,6,6,3,3,2,3,3,1069,6360,729,0.011141358615108102,9,17,3.7124093012826576,0.0,6,True,8
38,7,60,5052,2820,2820,4265232,6,6,3,3,2,3,3,5052,35688,2820,0.002797122556573779,12,18,4.418839476296643,0.0,7,True,9
39,7,51,5853,3903,3903,4523076,6,6,3,3,2,3,3,5853,42477,3903,0.002480281594905674,12,20,4.457298306107284,0.0,7,True,9
40,7,62,1155,837,837,21251088,6,6,3,3,2,3,3,1155,7629,837,0.011447477998604514,6,20,3.7054476430559617,0.0,7,True,9
41,7,41,13923,7605,7605,21251136,6,6,3,3,2,3,2,13923,115704,7605,0.001193833925777443,9,21,4.725903677632524,0.0042777669752566295,8,False,10
42,7,65,576,417,417,87316,7,7,2,2,2,2,4,576,3309,417,0.019981884057971015,6,17,3.3901570048309178,0.0,6,True,8
43,7,58,577,425,425,4265221,7,7,3,3,3,3,4,577,3319,425,0.019972799922973232,6,17,3.3935225303292893,0.0,6,True,8
44,7,45,6451,2201,2201,4265296,7,7,3,3,3,3,4,6451,50912,2201,0.0024471658140856715,6,18,4.294276928401222,0.0,7,True,10
45,7,53,3144,2232,2232,4527172,7,7,3,3,2,3,3,3144,22230,2232,0.004499275015604773,9,20,4.146680818232528,0.0,7,True,9
46,7,42,14703,7737,7737,4527184,7,7,3,3,3,3,3,14703,121776,7737,0.0011267026729294444,9,21,4.684019385117671,0.003756964623337364,7,False,10
47,7,52,3153,2211,2211,21251089,7,7,3,3,3,3,3,3153,22302,2211,0.004488111394997271,9,20,4.150448931885031,0.0,7,True,9
48,7,59,14724,7596,7596,21251137,7,7,3,3,3,3,3,14724,122040,7596,0.001125926585268928,9,21,4.683339468858248,0.003617229651979892,7,False,10
49,7,23,71046,21210,21210,21251392,7,7,3,3,2,3,3,71046,663606,21210,0.0002629463517798457,12,21,5.3375685973678655,0.003478580408894747,8,False,12
50,7,7,35091,11757,11757,1141904656,7,7,3,4,3,4,3,35091,323811,11757,0.0005259476036083815,9,21,5.011843146195497,0.00477078421986918,8,False,11
51,7,38,48207,480,480,1146160384,7,7,3,4,3,4,2,48207,501600,480,0.00043169430718133266,3,21,4.7833603285898025,0.0038190209866736328,9,False,12
52,7,69,239,130,130,21848,7,8,2,2,2,2,5,239,1406,130,0.04943567385113041,7,15,2.8198023979466265,0.0,5,True,8
53,7,56,896,507,507,87320,7,8,2,2,2,2,4,896,5845,507,0.014577513966480446,7,18,3.411694433359936,0.0,6,True,8
54,7,54,577,425,425,4265222,7,8,3,3,3,3,4,577,3319,425,0.019972799922973232,6,17,3.3935225303292893,0.0,6,True,8
55,7,26,2695,1491,1491,4265234,7,8,3,3,2,3,4,2695,18589,1491,0.005120703879851191,9,18,4.029522625004649,0.0,6,True,8
56,7,61,1597,1021,1021,4523396,7,8,3,3,2,3,4,1597,12242,1021,0.009606043913791993,10,21,3.6050944518465857,0.0,6,True,9
57,7,40,3132,2220,2220,4527176,7,8,3,3,2,3,4,3132,22380,2220,0.004564416397145833,9,20,4.07053369408131,0.0,6,True,9
58,7,28,4872,2604,2604,4527488,7,8,3,3,2,3,4,4872,38770,2604,0.003267385575769466,10,21,4.116592149712163,0.0,7,True,10
59,7,49,1360,760,760,21071105,7,8,3,3,2,3,3,1360,10278,760,0.011121932216595248,12,18,3.5183461022378046,0.0,6,True,9
60,7,47,3153,2211,2211,21251090,7,8,3,3,3,3,3,3153,22302,2211,0.004488111394997271,9,20,4.150448931885031,0.0,7,True,9
61,7,21,14724,7596,7596,21251138,7,8,3,3,3,3,3,14724,122040,7596,0.001125926585268928,9,21,4.688280921007947,0.003983165644013529,7,False,10
62,7,9,14679,8037,8037,21251168,7,8,3,3,2,3,3,14679,120882,8037,0.0011220915157611753,12,21,4.752479697506473,0.003940825247437503,7,False,10
63,7,4,35418,11190,11190,21251456,7,8,3,3,2,3,3,35418,328746,11190,0.0005241488869254843,9,21,4.964552446565209,0.0037692588575070113,8,False,11
64,7,20,7440,4020,4020,21333248,7,8,3,3,2,3,3,7440,66120,4020,0.0023893256551132,15,21,4.278607368605157,0.0,7,True,10
65,7,30,48207,480,480,1146160640,7,8,3,4,3,4,3,48207,501600,480,0.00043169430718133266,3,21,4.783538065800938,0.003883551251895775,9,False,12
66,7,6,71244,22020,22020,22299968,8,8,3,3,2,3,3,71244,666180,22020,0.00026250107835740883,12,21,5.326219263646954,0.0035662530589350054,8,False,11
67,7,39,57072,492,492,1141921088,8,8,3,4,3,4,3,57072,590204,492,0.00036240449011674513,9,21,4.909231360936377,0.0037579109068890553,8,False,12
68,7,27,71400,22632,22632,1145373716,8,8,3,4,3,4,3,71400,668064,22632,0.00026209438943016524,12,21,5.330564895866888,0.0033824024442478703,8,False,11
69,7,71,357,273,273,349272,8,9,2,2,2,2,5,357,2312,273,0.03638309256286784,8,19,2.9100179397601735,0.0,5,True,8
70,7,2,7818,2442,2442,4527504,8,9,3,3,3,3,4,7818,70643,2442,0.002311869693320142,10,21,4.0952013625314265,0.0,6,True,11
71,7,55,2162,793,793,21071121,8,9,3,3,3,3,4,2162,17005,793,0.007279409907617203,4,18,3.6649896127679265,0.0,6,True,9
