no,n,orbit,members,loops,loop_nodes,rep,rep_edges,rep_weight,es_lo,vc_min,chi_min,es_up,mindeg_g,nodes,edges,selfloops,density,min_degree,max_degree,aspl,aspl_se,diameter,diameter_exactly_known,chi_og
1,3,0,2,1,1,3,2,2,1,1,2,1,2,2,1,1,1.0,1,1,1.0,0.0,1,True,2
2,4,1,2,1,1,7,3,3,1,1,2,1,3,2,1,1,1.0,1,1,1.0,0.0,1,True,2
3,4,0,4,2,2,13,3,3,2,2,2,2,2,4,3,2,0.5,1,2,1.6666666666666667,0.0,3,True,2
4,5,0,2,1,1,15,4,4,1,1,2,1,4,2,1,1,1.0,1,1,1.0,0.0,1,True,2
5,5,3,6,3,3,29,4,4,2,2,2,2,3,6,6,3,0.4,2,2,1.8,0.0,3,True,2
6,5,2,10,6,6,58,4,4,2,2,2,2,2,10,13,6,0.28888888888888886,2,3,2.0444444444444443,0.0,3,True,3
7,5,1,3,1,1,220,5,5,2,3,3,3,2,3,2,1,0.6666666666666666,1,2,1.3333333333333333,0.0,2,True,2
8,6,10,2,1,1,31,5,5,1,1,2,1,5,2,1,1,1.0,1,1,1.0,0.0,1,True,2
9,6,8,6,3,3,61,5,5,2,2,2,2,4,6,6,3,0.4,2,2,1.8,0.0,3,True,3
10,6,2,4,2,2,121,5,5,2,2,2,2,3,4,3,2,0.5,1,2,1.6666666666666667,0.0,3,True,2
11,6,5,16,10,10,122,5,5,2,2,2,2,3,16,24,10,0.2,3,3,2.25,0.0,3,True,3
12,6,3,10,7,7,659,5,5,3,3,2,3,3,10,13,7,0.28888888888888886,2,3,2.0444444444444443,0.0,3,True,3
13,6,4,25,14,14,692,5,5,3,3,2,3,2,25,44,14,0.14666666666666667,2,4,2.506666666666667,0.0,5,True,4
14,6,7,5,3,3,246,6,6,2,2,2,2,3,5,5,3,0.5,1,3,1.7,0.0,3,True,3
15,6,6,5,4,4,691,6,6,3,3,3,3,3,5,5,4,0.5,1,3,1.7,0.0,3,True,3
16,6,1,21,8,8,700,6,6,3,3,3,3,3,21,39,8,0.18571428571428572,2,5,2.3190476190476192,0.0,4,True,3
17,6,0,16,1,1,1880,6,6,3,3,2,3,2,16,28,1,0.23333333333333334,1,6,2.216666666666667,0.0,4,True,3
